startup_name,domain,round,amount_usd,investor,date,source,scraped_at,headquarters
PhantomFX,-,Post-IPO,12400000.0,Zee Entertainment Enterprises,,,2026-06-01,Tamil Nadu
Signsetu,-,Grant,,Saksham,,,2026-06-01,Karnataka
The Binge Town,-,Debt,110000.0,Varun Alagh,,,2026-06-01,Karnataka
The Binge Town,-,Angel,110000.0,Varun Alagh,,,2026-06-01,Karnataka
Craon,AI,Seed,,Undisclosed,,,2026-06-01,Haryana
Aivar Innovations,AI & Cloud Solutions,Seed,4600000.0,Sorin,,,2026-06-01,Tamil Nadu
Enerzolve,AI Infrastructure,Seed,5100000.0,Jungle Ventures,,,2026-06-01,Karnataka
Arrowhead,AI Voice Bots,Seed,3000000.0,Stellaris Venture Partners,,,2026-06-01,Karnataka
Brisil Technologies,Advanced Materials,Seed,328000.0,Momentum Capital,,,2026-06-01,Gujarat
Whizzo,Advanced Materials,Series A,15000000.0,Fundamentum,,,2026-06-01,Karnataka
D-Propulse,Aerospace Tech,Seed,2730000.0,Indian Angel Network,,,2026-06-01,Delhi
Maraal Aerospace,Aerospace Tech,Seed,218000.0,HPCL,,,2026-06-01,Uttar Pradesh
EndureAir Systems,"Aerospace, Maritime and Defense Tech > Military Tech",Grant (prize money),3100000.0,Anrf,,,2026-06-01,Uttar Pradesh
Bellatrix Aerospace,"Aerospace, Maritime and Defense Tech > Space Tech",Series A,20000000.0,Cactus Partners,,,2026-06-01,Karnataka
Dhruva Space,"Aerospace, Maritime and Defense Tech > Space Tech",Grant,551000.0,IN-SPACe,,,2026-06-01,Telangana
InterCosmos,"Aerospace, Maritime and Defense Tech > Space Tech",Seed,,Indian Angel Network,,,2026-06-01,Kerala
Skyroot Aerospace,"Aerospace, Maritime and Defense Tech > Space Tech",Debt,10800000.0,BlackRock,,,2026-06-01,Telangana
Xovian Aerospace,"Aerospace, Maritime and Defense Tech > Space Tech",Seed,2000000.0,Inflection Point Ventures,,,2026-06-01,Karnataka
Xovian Aerospace,"Aerospace, Maritime and Defense Tech > Space Tech",Seed,2000000.0,IIM Udaipur Incubation Center,,,2026-06-01,Karnataka
Arya.ag,AgriTech,Series D,56200000.0,GEF Capital Partners,,,2026-06-01,Uttar Pradesh
SoilSens,AgriTech - Crop Tech,Angel,53900.0,Namita Thapar,,,2026-06-01,Maharashtra
WayCool,AgriTech - Supply Chain,Series E,22700000.0,Lightrock,,,2026-06-01,Tamil Nadu
RenewCred,Air Pollution Management Tech,Grant,,ACT Grants,,,2026-06-01,Karnataka
RenewCred,Air Pollution Management Tech,Seed,471000.0,Campus Angels Network,,,2026-06-01,Karnataka
Misochain,Aircraft Components,Seed,2000000.0,Capital-A,,,2026-06-01,Karnataka
Arthum,Alternative Lending,Seed,1090000.0,Caret Capital,,,2026-06-01,Uttar Pradesh
Intellend Technologies Advisors,Alternative Lending,Seed,1200000.0,Incubate Fund India,,,2026-06-01,Maharashtra
Mufin Finance,Alternative Lending,Debt,12000000.0,Finnfund,,,2026-06-01,Delhi
ClimaCrew,Aquaculture,Angel,1670000.0,Undisclosed,,,2026-06-01,Maharashtra
Aqua Exchange,Aquaculture Tech,Series B,8000000.0,Endiya Partners,,,2026-06-01,Andhra Pradesh
Captain Fresh,Aquaculture Tech,Debt,31400000.0,Blue Earth Capital,,,2026-06-01,Karnataka
Corel Lifecare,Aquaculture Tech,Angel,133000.0,Anupam Mittal,,,2026-06-01,Maharashtra
StepOut,Artificial Intelligence,Seed,1500000.0,Rainmatter,,,2026-06-01,Karnataka
Fortuna Engineering,Auto > Auto Components,Unattributed,13600000.0,Bharat Forge,,,2026-06-01,Maharashtra
Smart Garage,Auto > Auto Retail & Aftersales,Seed,258000.0,Undisclosed,,,2026-06-01,-
NASH,Auto Components,PE,,ChrysCapital,,,2026-06-01,Karnataka
Hala Mobility,Auto E-Commerce & Content,Series A,1350000.0,Recur Club,,,2026-06-01,Telangana
Hala Mobility,Auto E-Commerce & Content,Debt,,Recur Club,,,2026-06-01,Telangana
PumPumPum,Auto Retail,Seed,2000000.0,Lighthouse Canton,,,2026-06-01,Haryana
RoshAi,Auto Tech > Autonomous Vehicles,Seed,2360000.0,Indian Angel Network,,,2026-06-01,Ohio / Kerala
REGRIP,Auto – Auto Retail & Aftersales,Debt,545000.0,Undisclosed,,,2026-06-01,Haryana
REGRIP,Auto – Auto Retail & Aftersales,Seed,1660000.0,Auxano,,,2026-06-01,Haryana
For Real,B2B E-Commerce,Seed,352000.0,Titan Capital,,,2026-06-01,Haryana
Knight FinTech,Banking Technology,Series A,23600000.0,Accel,,,2026-06-01,Maharashtra
&Done,Beauty & Personal Care,Series A,3000000.0,RTP Global,,,2026-06-01,Haryana
Antinorm,Beauty & Personal Care,Angel,112000.0,Anupam Mittal,,,2026-06-01,Delhi
Antinorm,Beauty & Personal Care,Seed,3110000.0,Fireside Ventures,,,2026-06-01,Delhi
Fabpad,Beauty & Personal Care,Seed,,Inflection Point Ventures,,,2026-06-01,West Bengal
KUHI BATH,Beauty & Personal Care,Grant,11100.0,Government of Assam,,,2026-06-01,Assam
Phitku,Beauty & Personal Care,Angel,205000.0,Aman Gupta,,,2026-06-01,West Bengal
Be Clinical,Beauty Tech,Seed,665000.0,V3 Ventures,,,2026-06-01,Delhi
House of EM5,Beauty Tech,Angel,,Suryakumar Yadav,,,2026-06-01,Madhya Pradesh
Pee Safe,Beauty Tech,Series C,,Orbimed,,,2026-06-01,Haryana
Truth And Hair,Beauty Tech,Angel,277000.0,Varun Alagh,,,2026-06-01,Haryana
Dview,Business Intelligence,Seed,,Grand View Research,,,2026-06-01,Karnataka
Securityfiresystems,Business Services,Debt,,Prospect Capital Management,,,2026-06-01,USA
Securityfiresystems,Business Services,Series B,26000000.0,Prospect Capital Management,,,2026-06-01,USA
Deccan AI,Business Services > AI Services,Series A,25000000.0,A91 Partners,,,2026-06-01,"California, Telangana"
Panoculon Labs,Business Services > AI Services,Grant,,Saksham,,,2026-06-01,Tamil Nadu
SILA,Business Services > Consulting,PE,100000000.0,Permira,,,2026-06-01,Maharashtra
Navikenz,Business Services > Digital Transformation Services,Seed,7500000.0,Sudip Nandy,,,2026-06-01,New Jersey / Uttar Pradesh
Kaar Technologies,Business Services > ERP Services,Series B,11000000.0,Playbook Partners,,,2026-06-01,"Tamil Nadu, India"
OFF BEAT,Business Services > HR,Seed,10700000.0,Bessemer Venture Partners,,,2026-06-01,Delhi
TIST Media,Business Services > Photography Services,Seed,,Sthira Partners,,,2026-06-01,Maharashtra
63SATS,Business Services – IT Services,Series B,26700000.0,Aarii Ventures,,,2026-06-01,Maharashtra
Wholeleaf,Cannabis HealthTech,Angel,166000.0,Aman Gupta,,,2026-06-01,Delhi
NowPurchase,Chemicals and Materials Tech > Materials Tech,Series B,8500000.0,Bajaj Finserv,,,2026-06-01,West Bengal
NowPurchase,Chemicals and Materials Tech > Materials Tech,Series B,8500000.0,Orios Venture Partners,,,2026-06-01,West Bengal
Varaha,ClimateTech,Series B,20000000.0,WestBridge Capital,,,2026-06-01,Haryana
House Of Diagnostics,Clinical Laboratory Chains,Seed,,360 One,,,2026-06-01,Delhi
Qure.ai,Clinical Labs IT,Grant,,Gates Foundation,,,2026-06-01,"Maharashtra, New York"
Neverinstall,Cloud OS,Seed,,Equirus Capital,,,2026-06-01,Karnataka
HandyPanda,Construction Tech,Seed,222000.0,ajvc,,,2026-06-01,Haryana
Rapido,Consumer,Series F,240000000.0,Prosus,,,2026-06-01,Karnataka
The Hosteller,Consumer (Online Travel),Series B,16100000.000000002,Promaft Partners,,,2026-06-01,Maharashtra
Helium,Consumer (Residential Real Estate Tech),Angel,536000.0,Albinder Dhindsa,,,2026-06-01,Karnataka
RoamPrime,Consumer - Auto E-Commerce,Seed,320000.0,Kriscore,,,2026-06-01,Karnataka
Canvaloop,Consumer - Fashion Tech,Series A,1440000.0,Gujarat Venture Finance,,,2026-06-01,Gujarat
LETZRYD,Consumer - Road Transport Tech,Series A,4000000.0,15th Rock,,,2026-06-01,Karnataka
sprect,Consumer > Communication Apps,Seed,212000.0,Subhkam Ventures,,,2026-06-01,Maharashtra
Fanon,Consumer > Digital Publishing Platforms,Seed,1000000.0,Kalaari Capital,,,2026-06-01,Karnataka
Alaya,Consumer > Fashion Tech,Seed,,LC Nueva AIF,,,2026-06-01,Delhi
Chupps,Consumer > Fashion Tech,Series A,,Ajinkya Rahane,,,2026-06-01,Maharashtra
GIVA,Consumer > Fashion Tech,Angel,,Kriti Sanon,,,2026-06-01,Karnataka
